,1,2,3,4,5,mean,Glide,Win/Lose,SIEVE-SVM,Win/Lose,,,,
RF_1112_aa2ar.csv,0.925,0.925,0.918,0.908,0.929,0.919,0.808,1,0.845,1,,RF,SVM,Glide
RF_1112_abl1.csv,0.938,0.904,0.876,0.914,0.878,0.9,0.764,1,0.791,1,Mean,0.904 ,0.850 ,0.794 
RF_1112_ace.csv,0.854,0.879,0.858,0.923,0.903,0.882,0.729,1,0.813,1,STD,0.097 ,0.093 ,0.107 
RF_1112_aces.csv,0.87,0.885,0.848,0.865,0.903,0.872,0.725,1,0.776,1,Best AUC target,95,4,3
RF_1112_ada.csv,0.987,0.885,0.975,0.934,0.931,0.939,0.691,1,0.913,1,,,,
RF_1112_ada17.csv,0.945,0.935,0.964,0.975,0.95,0.951,0.827,1,0.906,1,,,,
RF_1112_adrb1.csv,0.943,0.93,0.878,0.946,0.907,0.919,0.794,1,0.848,1,,,,
RF_1112_adrb2.csv,0.944,0.897,0.902,0.919,0.947,0.92,0.862,1,0.847,1,,,,
RF_1112_akt1.csv,0.918,0.899,0.913,0.894,0.861,0.895,0.638,1,0.801,1,,,,
RF_1112_akt2.csv,0.972,0.896,0.951,0.866,0.966,0.928,0.805,1,0.836,1,,,,
RF_1112_aldr.csv,0.791,0.904,0.872,0.853,0.81,0.845,0.738,1,0.795,1,,,,
RF_1112_ampc.csv,0.765,0.808,0.962,0.88,0.8,0.842,0.848,0,0.705,1,,,,
RF_1112_andr.csv,0.905,0.96,0.951,0.896,0.881,0.916,0.854,1,0.81,1,,,,
RF_1112_aofb.csv,0.732,0.765,0.747,0.694,0.714,0.73,0.718,1,0.608,1,,,,
RF_1112_bace1.csv,0.881,0.887,0.843,0.876,0.87,0.87,0.799,1,0.833,1,,,,
RF_1112_braf.csv,0.946,0.948,0.934,0.948,0.905,0.934,0.86,1,0.842,1,,,,
RF_1112_cah2.csv,0.765,0.81,0.763,0.743,0.788,0.773,0.501,1,0.67,1,,,,
RF_1112_casp3.csv,0.862,0.861,0.841,0.908,0.901,0.872,0.737,1,0.804,1,,,,
RF_1112_cdk2.csv,0.836,0.885,0.89,0.847,0.887,0.867,0.783,1,0.781,1,,,,
RF_1112_comt.csv,0.987,0.984,0.989,0.988,0.973,0.981,0.809,1,0.961,1,,,,
RF_1112_cp2c9.csv,0.702,0.627,0.632,0.555,0.601,0.623,0.542,1,0.49,1,,,,
RF_1112_cp3a4.csv,0.741,0.662,0.688,0.689,0.682,0.692,0.661,1,0.489,1,,,,
RF_1112_csf1r.csv,0.885,0.9,0.901,0.932,0.934,0.909,0.775,1,0.787,1,,,,
RF_1112_cxcr4.csv,0.966,1,0.963,0.955,0.961,0.966,0.88,1,0.902,1,,,,
RF_1112_def.csv,0.961,0.939,0.961,0.996,0.945,0.957,0.871,1,0.95,1,,,,
RF_1112_dhi1.csv,0.859,0.843,0.864,0.814,0.861,0.847,0.677,1,0.781,1,,,,
RF_1112_dpp4.csv,0.949,0.969,0.964,0.977,0.982,0.965,0.867,1,0.927,1,,,,
RF_1112_drd3.csv,0.894,0.948,0.945,0.912,0.945,0.926,0.782,1,0.849,1,,,,
RF_1112_dyr.csv,0.926,0.945,0.936,0.92,0.866,0.916,0.75,1,0.892,1,,,,
RF_1112_egfr.csv,0.94,0.941,0.927,0.88,0.907,0.917,0.774,1,0.858,1,,,,
RF_1112_esr1.csv,0.973,0.975,0.962,0.964,0.934,0.958,0.796,1,0.906,1,,,,
RF_1112_esr2.csv,0.94,0.966,0.963,0.969,0.973,0.959,0.902,1,0.927,1,,,,
RF_1112_fa10.csv,0.953,0.965,0.972,0.957,0.958,0.957,0.92,1,0.931,1,,,,
RF_1112_fa7.csv,0.998,0.991,0.984,0.98,0.965,0.98,0.935,1,0.963,1,,,,
RF_1112_fabp4.csv,0.985,0.972,0.961,0.923,0.968,0.959,0.826,1,0.919,1,,,,
RF_1112_fak1.csv,0.939,0.937,0.931,0.962,0.94,0.938,0.795,1,0.942,0,,,,
RF_1112_fgfr1.csv,0.279,0.121,0.137,0.076,0.089,0.143,0.497,0,0.941,0,,,,
RF_1112_fkb1a.csv,0.973,0.958,0.934,0.91,0.873,0.926,0.863,1,0.846,1,,,,
RF_1112_fnta.csv,0.912,0.925,0.889,0.927,0.946,0.918,0.716,1,0.86,1,,,,
RF_1112_fpps.csv,0.986,0.998,0.95,1,0.997,0.982,0.814,1,0.97,1,,,,
RF_1112_gcr.csv,0.856,0.906,0.892,0.906,0.909,0.892,0.767,1,0.772,1,,,,
RF_1112_glcm.csv,0.767,0.861,0.941,0.863,0.822,0.849,0.573,1,0.78,1,,,,
RF_1112_gria2.csv,0.91,0.942,0.9,0.928,0.91,0.915,0.767,1,0.862,1,,,,
RF_1112_grik1.csv,0.989,0.993,0.994,0.997,0.982,0.988,0.874,1,0.958,1,,,,
RF_1112_hdac2.csv,0.969,0.91,0.94,0.953,0.907,0.933,0.738,1,0.888,1,,,,
RF_1112_hdac8.csv,0.945,0.957,0.968,0.97,0.936,0.952,0.644,1,0.882,1,,,,
RF_1112_hivint.csv,0.835,0.893,0.89,0.886,0.877,0.875,0.731,1,0.809,1,,,,
RF_1112_hivpr.csv,0.917,0.917,0.919,0.889,0.905,0.908,0.795,1,0.824,1,,,,
RF_1112_hivrt.csv,0.905,0.893,0.891,0.876,0.916,0.894,0.807,1,0.777,1,,,,
RF_1112_hmdh.csv,0.981,0.972,0.994,0.991,0.975,0.978,0.923,1,0.962,1,,,,
RF_1112_hs90a.csv,0.871,0.856,0.717,0.895,0.878,0.841,0.678,1,0.803,1,,,,
RF_1112_hxk4.csv,0.878,0.899,0.877,0.823,0.904,0.874,0.649,1,0.868,1,,,,
RF_1112_igf1r.csv,0.843,0.92,0.936,0.867,0.9,0.891,0.82,1,0.82,1,,,,
RF_1112_inha.csv,0.799,0.856,0.889,0.955,0.753,0.849,0.578,1,0.866,0,,,,
RF_1112_ital.csv,0.766,0.849,0.847,0.838,0.9,0.839,0.585,1,0.787,1,,,,
RF_1112_jak2.csv,0.863,0.888,0.967,0.971,0.957,0.927,0.898,1,0.887,1,,,,
RF_1112_kif11.csv,0.939,0.942,0.933,0.934,0.92,0.931,0.88,1,0.882,1,,,,
RF_1112_kit.csv,0.833,0.858,0.895,0.852,0.8,0.847,0.653,1,0.709,1,,,,
RF_1112_kith.csv,0.961,0.965,0.9,0.903,0.985,0.94,0.839,1,0.862,1,,,,
RF_1112_kpcb.csv,0.847,0.884,0.93,0.904,0.892,0.888,0.863,1,0.834,1,,,,
RF_1112_lck.csv,0.945,0.939,0.918,0.939,0.935,0.933,0.848,1,0.832,1,,,,
RF_1112_lkha4.csv,0.978,0.942,0.978,0.997,0.962,0.968,0.905,1,0.925,1,,,,
RF_1112_mapk2.csv,0.966,0.874,0.978,0.937,0.966,0.941,0.858,1,0.852,1,,,,
RF_1112_mcr.csv,0.935,0.845,0.851,0.961,0.85,0.888,0.834,1,0.808,1,,,,
RF_1112_met.csv,0.939,0.919,0.905,0.907,0.942,0.92,0.869,1,0.853,1,,,,
RF_1112_mk01.csv,0.944,0.873,0.883,0.902,0.738,0.866,0.77,1,0.745,1,,,,
RF_1112_mk10.csv,0.859,0.848,0.77,0.858,0.862,0.838,0.792,1,0.752,1,,,,
RF_1112_mk14.csv,0.849,0.873,0.847,0.862,0.841,0.853,0.611,1,0.78,1,,,,
RF_1112_mmp13.csv,0.97,0.967,0.977,0.956,0.967,0.964,0.803,1,0.941,1,,,,
RF_1112_mp2k1.csv,0.917,0.855,0.912,0.913,0.848,0.887,0.734,1,0.833,1,,,,
RF_1112_nos1.csv,0.73,0.785,0.912,0.905,0.897,0.845,0.621,1,0.572,1,,,,
RF_1112_nram.csv,0.974,0.996,0.977,0.991,0.996,0.983,0.903,1,0.975,1,,,,
RF_1112_pa2ga.csv,0.923,0.895,0.864,0.859,0.939,0.894,0.793,1,0.842,1,,,,
RF_1112_parp1.csv,0.979,0.985,0.969,0.978,0.969,0.972,0.952,1,0.952,1,,,,
RF_1112_pde5a.csv,0.918,0.935,0.95,0.909,0.869,0.914,0.841,1,0.862,1,,,,
RF_1112_pgh1.csv,0.798,0.861,0.862,0.887,0.915,0.863,0.727,1,0.765,1,,,,
RF_1112_pgh2.csv,0.958,0.908,0.936,0.948,0.913,0.93,0.804,1,0.862,1,,,,
RF_1112_plk1.csv,0.936,0.948,0.91,0.91,0.879,0.914,0.907,1,0.836,1,,,,
RF_1112_pnph.csv,0.99,0.969,0.983,0.985,0.997,0.981,0.919,1,0.968,1,,,,
RF_1112_ppara.csv,0.933,0.946,0.959,0.927,0.928,0.937,0.826,1,0.894,1,,,,
RF_1112_ppard.csv,0.923,0.934,0.941,0.944,0.939,0.935,0.726,1,0.879,1,,,,
RF_1112_pparg.csv,0.93,0.903,0.907,0.913,0.924,0.914,0.739,1,0.846,1,,,,
RF_1112_prgr.csv,0.931,0.981,0.961,0.93,0.97,0.952,0.92,1,0.903,1,,,,
RF_1112_ptn1.csv,0.924,0.917,0.949,0.928,0.936,0.928,0.864,1,0.834,1,,,,
RF_1112_pur2.csv,1,1,1,0.994,1,0.994,1,0,0.994,0,,,,
RF_1112_pygm.csv,0.874,0.929,0.902,0.964,0.894,0.91,0.64,1,0.864,1,,,,
RF_1112_pyrd.csv,0.998,0.98,0.944,0.955,0.949,0.961,0.878,1,0.933,1,,,,
RF_1112_reni.csv,0.801,0.726,0.795,0.818,0.782,0.783,0.738,1,0.749,1,,,,
RF_1112_rock1.csv,0.92,0.924,0.984,0.966,0.904,0.937,0.859,1,0.827,1,,,,
RF_1112_rxra.csv,0.99,0.99,0.995,0.991,0.962,0.981,0.976,1,0.962,1,,,,
RF_1112_sahh.csv,0.994,1,1,1,1,0.994,1,0,0.939,1,,,,
